,claimID,claim,label,claimURL,reason,categories,speaker,checker,tags,articleTitle,publishDate,claimDate,entities
21,tron-00918,Bitstrips App a Secret Spyware for NSA,fiction! & satire!,https://www.truthorfiction.com/bitstrips-app-nsa/,None,computers,None,None,None,Bitstrips App a Secret Spyware for NSA,"Mar 17, 2015",None,['None']
22,tron-01743,"Even If You Are Not Catholic, This Is Eye Opening",grass roots movement!,https://www.truthorfiction.com/catholic-eye-opener/,None,government,None,None,None,"Even If You Are Not Catholic, This Is Eye Opening","Mar 17, 2015",None,['None']
23,tron-03557,Jack Minzey of Eastern Michigan University on Civil War,incorrect attribution!,https://www.truthorfiction.com/jack-minzmodern-civil-war/,None,trump,None,None,"['commentaries', 'donald trump', 'robert mueller', 'supreme court']",Jack Minzey of Eastern Michigan University on Civil War,"Jun 4, 2018",None,['None']
24,tron-00081,Boy Dies in Santa’s Arms,investigation pending!,https://www.truthorfiction.com/boy-dies-santas-arms/,None,9-11-attack,None,None,"['Christmas', 'seasonal']",Boy Dies in Santa’s Arms,"Dec 14, 2016",None,['None']
25,tron-03083,Bernie Sanders Gave Speech to Bank of America,misleading!,https://www.truthorfiction.com/bernie-sanders-gave-speech-to-bank-of-america/,None,politics,None,None,None,Bernie Sanders Gave Speech to Bank of America,"Mar 14, 2016",None,['None']
26,tron-02044,"After a Schoolteacher Called Thomas Edison “Addled,” His Heroic Mother Stepped In",mostly fiction!,https://www.truthorfiction.com/after-a-schoolteacher-called-thomas-edison-addled-his-heroic-mother-stepped-in/,None,inspirational,None,None,None,"After a Schoolteacher Called Thomas Edison “Addled,” His Heroic Mother Stepped In","Oct 5, 2015",None,['None']
27,tron-01665,White House Staffers Got Hefty Pay Raises,mostly truth!,https://www.truthorfiction.com/white-house-staffers-pay-raise/,None,government,None,None,None,White House Staffers Got Hefty Pay Raises,"Mar 17, 2015",None,['None']
28,tron-01788,"Big Tobacco Must Pay: Get $2,300 in Tax-Free Payments Per Month",none,https://www.truthorfiction.com/big-tobacco-must-pay/,None,health-medical,None,None,"['healthcare', 'medical', 'money']","Big Tobacco Must Pay: Get $2,300 in Tax-Free Payments Per Month","Jun 12, 2017",None,['None']
29,tron-00820,“The President Without a Country” an Opinion by Pat Boone,opinion!,https://www.truthorfiction.com/pat-boone-president-country/,None,celebrities,None,None,None,“The President Without a Country” an Opinion by Pat Boone,"Mar 17, 2015",None,['None']
30,tron-00570,Buffalo Wild Wings Adds Obamacare Surcharge,outdated!,https://www.truthorfiction.com/buffalo-wild-wings-adds-obamacare-surcharge/,None,business,None,None,None,Buffalo Wild Wings Adds Obamacare Surcharge,"Nov 27, 2015",None,['None']
31,tron-01088,CNN Anchor Brooke Baldwin Blames Veterans for Baltimore Violence,previously truth! now resolved!,https://www.truthorfiction.com/cnn-anchor-brooke-baldwin-blames-veterans-for-baltimore-violence/,None,crime-police,None,None,None,CNN Anchor Brooke Baldwin Blames Veterans for Baltimore Violence,"May 14, 2015",None,['None']
32,tron-00870,Free Windows 10 Upgrade Email,scam!,https://www.truthorfiction.com/free-windows-10-upgrade-email/,None,computers,None,None,None,Free Windows 10 Upgrade Email,"Sep 11, 2015",None,['None']
33,tron-00460,Video of Hypnotized Bunny Taking a Shower,truth!,https://www.truthorfiction.com/rabbit-hypnosis/,None,animals,None,None,None,Video of Hypnotized Bunny Taking a Shower,"Mar 17, 2015",None,['None']
34,tron-02057,Stop To Salute-a Memorial Day Tribute written by a U.S. Army Captain,truth!,https://www.truthorfiction.com/stoptosalute/,None,inspirational,None,None,None,Stop To Salute-a Memorial Day Tribute written by a U.S. Army Captain,"Mar 17, 2015",None,['None']
35,tron-00942,Internet Explorer Bug Opens Computers to Hackers,truth!,https://www.truthorfiction.com/ms-explorer-bug-warning/,None,computers,None,None,None,Internet Explorer Bug Opens Computers to Hackers,"Mar 17, 2015",None,['None']
36,tron-02322,Sears is Providing Financially for Employees Who are Reservists on Active Duty,truth!,https://www.truthorfiction.com/sears/,None,military,None,None,None,Sears is Providing Financially for Employees Who are Reservists on Active Duty,"Mar 17, 2015",None,['None']
37,tron-02646,Ken Blackwell commentary about Barack Obama,truth!,https://www.truthorfiction.com/blackwell/,None,miscellaneous,None,None,None,Ken Blackwell commentary about Barack Obama,"Mar 17, 2015",None,['Ken_Blackwell']
38,tron-01593,Petition in Support of The Breast Cancer Protection Act,truth!,https://www.truthorfiction.com/breastcancerprotection/,None,government,None,None,None,Petition in Support of The Breast Cancer Protection Act,"Mar 17, 2015",None,['None']
39,tron-03203,Family with Down Syndrome Child Meet McCain and Palin,truth!,https://www.truthorfiction.com/rush-transcript-family/,None,politics,None,None,None,Family with Down Syndrome Child Meet McCain and Palin,"Mar 17, 2015",None,['None']
40,tron-03414,Black Mass at Harvard to Reenact Satanic Rituals,truth!,https://www.truthorfiction.com/harvard-black-mass/,None,religious,None,None,None,Black Mass at Harvard to Reenact Satanic Rituals,"Mar 17, 2015",None,['None']
41,tron-02697,Rev. Al Sharpton Owes Millions in Back Taxes,truth! & disputed!,https://www.truthorfiction.com/al-sharpton-owes-millions-in-back-taxes/,None,money-financial,None,None,None,Rev. Al Sharpton Owes Millions in Back Taxes – Truth! & Disputed!,"Mar 17, 2015",None,['None']
42,tron-01998,German Government Confiscating Homes to House Refugees,truth! & fiction!,https://www.truthorfiction.com/german-government-confiscating-homes-house-refugees-truth-fiction/,None,immigration,None,None,"['germany', 'immigration', 'international', 'refugees']",German Government Confiscating Homes to House Refugees,"May 16, 2017",None,['None']
43,tron-00400,"430-Pound Deer in Hartford, Michigan, Shot by Hunter",truth! & fiction!,https://www.truthorfiction.com/430-pound-deer-in-hartford-michigan-shot-by-hunter/,None,animals,None,None,None,"430-Pound Deer in Hartford, Michigan, Shot by Hunter","Oct 30, 2015",None,"['Michigan', 'Hartford,_Connecticut']"
44,tron-01240,Communist Group Backs Black Lives Matter Protests,truth! & misleading!,https://www.truthorfiction.com/communist-group-backs-black-lives-matter-protests/,None,crime-police,None,None,None,Communist Group Backs Black Lives Matter Protests – Truth! & Misleading!,"Mar 17, 2015",None,['None']
45,tron-00023,House Bill Would Charge Veterans For GI Bill Benefits,truth! & outdated!,https://www.truthorfiction.com/house-bill-charge-veterans-gi-benefits/,None,9-11-attack,None,None,None,House Bill Would Charge Veterans For GI Benefits,"Dec 11, 2017",None,['None']
46,tron-01871,Reports of cell phone fires,truth! & unproven!,https://www.truthorfiction.com/cell-chargers/,None,household,None,None,None,Reports of cell phone fires,"Mar 17, 2015",None,['None']
47,tron-02343,Good news from Baghdad,unproven!,https://www.truthorfiction.com/beautifulbaghdad/,None,military,None,None,None,Good news from Baghdad,"Mar 17, 2015",None,['None']
48,tron-00712,A French woman got one of Princess Diana’s kidneys in a transplant,unproven!,https://www.truthorfiction.com/dianakidney/,None,celebrities,None,None,None,A French woman got one of Princess Diana’s kidneys in a transplant,"Mar 17, 2015",None,['France']
49,tron-01899,Vladimir Putin Describes President Obama,unproven!,https://www.truthorfiction.com/putin-on-obama-100513/,None,humorous,None,None,None,Vladimir Putin Describes President Obama,"Mar 17, 2015",None,['Vladimir_Putin']
50,tron-01883,Coca Cola Christmas Promotion,virus!,https://www.truthorfiction.com/cocacola-virus/,None,household,None,None,None,Coca Cola Christmas Promotion,"Mar 17, 2015",None,['None']
51,snes-00972,"Marjory Stoneman Douglas encouraged activists to ""be a nuisance"" and to ""never give up"" even if discouraged by bad politics.",correct attribution,https://www.snopes.com/fact-check/marjory-stoneman-douglas-quote-on-activism/,None,Questionable Quotes,None,Dan Evon,None,Marjory Stoneman Douglas Quote About Activism?,23 February 2018,None,['None']
52,snes-04117,"Republican nominee Donald Trump called President Barack Obama a ""lying n*****r"" during a confrontation.",false,https://www.snopes.com/fact-check/donald-trump-called-president-obama-a-lying-nr/,None,Junk News,None,Bethania Palma,None,Donald Trump Called President Obama a ‘Lying N****r’?,1 September 2016,None,"['Republican_Party_(United_States)', 'Barack_Obama', 'Donald_Trump']"
53,snes-05889,A Google Maps image captured a furtive body disposal.,false,https://www.snopes.com/fact-check/google-maps-body-disposal/,None,Fauxtography,None,David Mikkelson,None,"Dead Body? Google Maps 52.376552,5.198303",17 April 2013,None,['None']
54,snes-04041,"A photograph shows a group of sheep squeezing through a gate, despite no fence hemming them in.",false,https://www.snopes.com/fact-check/sheep-walking-through-gate/,None,Fauxtography,None,Dan Evon,None,Sheep Walking Through Gate,13 September 2016,None,['None']
55,snes-01228,A video of President Donald Trump apparently struggling to get the words right while singing along with the national anthem proves that he doesn't know what they are.,false,https://www.snopes.com/fact-check/trump-words-national-anthem/,None,Politicians,None,David Emery,None,Does Donald Trump Not Know the Words to the National Anthem?,10 January 2018,None,['None']
56,snes-04101,Video shows a woman being hit by a car after fleeing her home from a prank intruder.,false,https://www.snopes.com/fact-check/exhibit-b-5/,None,Fauxtography,None,David Mikkelson,None,Exhibit B-5: Girl Gets Hit By Car After Prank Goes Wrong,25 November 2012,None,['None']
57,snes-04656,Scientists have created a human-gorilla hybrid called Hurilla.,false,https://www.snopes.com/fact-check/human-gorilla-hybrid/,None,Junk News,None,Dan Evon,None,Human/Gorilla Hybrid Infant Born in India,4 June 2016,None,['None']
58,snes-04384,Pope Francis has endorsed Hillary Clinton for President.,false,https://www.snopes.com/fact-check/pope-francis-shocks-world-endorses-hillary-clinton-for-president/,None,Junk News,None,David Mikkelson,None,"Pope Francis Shocks World, Endorses Hillary Clinton for President",24 July 2016,None,['None']
59,snes-00124,A man accidentally burned down his home while attempting to set his Nike shoes on fire in protest over the company's ties with Colin Kaepernick.,false,https://www.snopes.com/fact-check/house-fire-nike-shoes-burn/,None,Junk News,None,David Mikkelson,None,Did a Man Accidentally Burn His Home Down After Lighting Nike Shoes on Fire?,7 September 2018,None,['None']
60,snes-04654,An image shows a young woman who was beaten up by anti-Trump demonstrators at a rally in San Jose.,false,https://www.snopes.com/fact-check/trump-protester-violence-san-jose/,None,Fauxtography,None,Dan Evon,None,Teenager Beaten by Anti-Trump Protester,5 June 2016,None,['None']
61,snes-02343,"During a 1955 speech at West Point, General Douglas MacArthur told assembled cadets: ""The next war will be an interplanetary war. The nations of the earth must someday make a common front against attack by people from other planets.""",false,https://www.snopes.com/fact-check/star-wars/,None,Questionable Quotes,None,David Mikkelson,None,General Douglas MacArthur on Interplanetary War,17 August 2005,None,"['Douglas_MacArthur', 'United_States_Military_Academy']"
62,snes-01512,Was the 'Black Soldier' Killed in Niger a Deserter?,false,https://www.snopes.com/fact-check/was-soldier-killed-deserter-satire/,None,Uncategorized,None,Bethania Palma,None,Was the ‘Black Soldier’ Killed in Niger a Deserter?,26 October 2017,None,['None']
63,snes-04621,"The media is covering up that ""multiple shooters"" were involved in the mass killing at an Orlando nightclub.",false,https://www.snopes.com/fact-check/multiple-shooters-orlando-cody-agnew/,None,Crime,None,Dan Evon,None,‘Multiple Shooters’ at Orlando Nightclub,13 June 2016,None,"['Orlando,_Florida']"
64,snes-04284,"A poster reading ""Superman is coming in Supergirl"" was an official promotion by the CW network.",false,https://www.snopes.com/fact-check/superman-is-coming-in-supergirl-poster/,None,Fauxtography,None,Brooke Binkowski,None,‘Superman Is Coming in Supergirl’ Poster,9 August 2016,None,"['Supergirl', 'Superman']"
65,snes-02898,Did Pat Robertson Say 'Staring' at Melania Trump 'Can Heal Gays'?,false,https://www.snopes.com/fact-check/pat-robertson-melania-cure/,None,Junk News,None,Kim LaCapria,None,Did Pat Robertson Say ‘Staring’ at Melania Trump ‘Can Heal Gays’?,21 February 2017,None,['None']
66,snes-04835,The Dalai Lama is has renounced religion and is pursuing a career as a sitcom writer.,false,https://www.snopes.com/fact-check/false-dalai-lama-atheist/,None,Junk News,None,Dan Evon,None,"The Dalai Lama Converts to Atheism, Will Step Down to Pursue Sitcom Career",29 April 2016,None,['None']
67,snes-01995,Actor Kirk Cameron has contracted an extremely rare form of leprosy.,false,https://www.snopes.com/fact-check/kirk-cameron-diagnosed-leprosy/,None,Fauxtography,None,Dan Evon,None,Was Kirk Cameron Diagnosed With a Rare Form of Leprosy?,28 July 2017,None,['None']
68,snes-06199,An open microphone caught President Obama muttering caustic comments about the 4th of July holiday.,false,https://www.snopes.com/fact-check/obama-miss-golf-holiday/,None,Junk News,None,David Mikkelson,None,Did President Obama Say ‘I Can’t Believe I Have to Miss a Good Day of Golf’ for July 4?,5 July 2013,None,['Barack_Obama']
69,snes-06030,"Neil Armstrong cryptically uttered ""Good luck, Mr. Gorsky"" as he first stepped onto the moon",false,https://www.snopes.com/fact-check/good-luck-mr-gorsky/,None,Questionable Quotes,None,David Mikkelson,None,"Good Luck, Mr. Gorsky!",16 September 1998,None,['Neil_Armstrong']
70,snes-04078,President Obama has announced he'll refuse to leave office if Donald Trump is elected President.,false,https://www.snopes.com/fact-check/obama-confirms-he-will-refuse-to-leave-office/,None,Junk News,None,David Emery,None,President Obama Confirms He Will Refuse to Leave Office If Trump Is Elected,8 September 2016,None,"['Barack_Obama', 'Donald_Trump']"
71,snes-00251,"A magazine advertisement from the 1950s promoted a handgun for women's use with the slogan ""for that strange, depraved creep who won't leave you alone.""",false,https://www.snopes.com/fact-check/1950s-magazine-ad-colt-cobra/,None,Fauxtography,None,David Emery,None,Is This a 1950s Women’s Magazine Ad for a Handgun to Shoot ‘Depraved Creeps’?,6 August 2018,None,['None']
72,snes-01594,Trump Mocks Trudeau For Celebrating Thanksgiving Six Weeks Early?,false,https://www.snopes.com/fact-check/trump-mocks-trudeau-celebrating-thanksgiving-six-weeks-early/,None,Junk News,None,Dan Evon,None,Did Trump Mock Trudeau for Celebrating Thanksgiving Six Weeks Early?,13 October 2017,None,['None']
73,snes-01538,Representative Frederica Wilson has never supported a bill intended to help military veterans.,false,https://www.snopes.com/fact-check/frederica-wilson-veterans/,None,Politics,None,Dan MacGuill,None,Has Representative Frederica Wilson Never Supported Pro-Veteran Legislation?,23 October 2017,None,['None']
74,snes-00496,The Cartoon Network announced that new episodes of 'Courage the Cowardly Dog' would premiere on 30 February 2019.,false,https://www.snopes.com/fact-check/is-courage-cowardly-dog-rebooted/,None,Junk News,None,Dan Evon,None,Is ‘Courage the Cowardly Dog’ Getting Rebooted?,7 June 2018,None,['None']
75,snes-04032,Ted Cruz said he'd run as a Democrat against Donald Trump if Hillary Clinton had to drop out of the 2016 presidential race.,false,https://www.snopes.com/fact-check/ted-cruz-run-as-democrat/,None,Junk News,None,Kim LaCapria,None,Ted Cruz Said ‘If Something Happens to Hillary’ He’ll ‘Run as a Democrat Against Trump’,15 September 2016,None,"['Ted_Cruz', 'Democratic_Party_(United_States)', 'Hillary_Rodham_Clinton', 'Donald_Trump']"
76,snes-04278,Marijuana dealers are using the popular game app Pokémon GO to hook children on drugs.,false,https://www.snopes.com/fact-check/weed-dealers-pokemon-go/,None,Uncategorized,None,Bethania Palma,None,‘Weed Dealers’ Using Pokémon GO to Hook Children on Drugs,10 August 2016,None,['None']
77,snes-02071,A peer-reviewed study has found evidence that nearly all of global warming has been fabricated by climate scientists.,false,https://www.snopes.com/fact-check/climatology-fraud-global-warming/,None,Science,None,Alex Kasprak,None,Peer-Reviewed Study Proves All Recent Global Warming Fabricated by Climatologists?,14 July 2017,None,['None']
78,snes-00960,"Oxford professor of Islamic studies Tariq Ramadan said ""we are here to colonize the U.S. and Canada"" with Sharia law.",false,https://www.snopes.com/fact-check/muslim-scholar-tariq-ramadan-sharia-law-colonize/,None,Racial Rumors,None,Bethania Palma,None,Did a Muslim Scholar Advocate ‘Colonizing’ U.S. and Canada with Sharia Law?,22 February 2018,None,"['United_States', 'Canada', 'Islam', 'Tariq_Ramadan', 'Sharia']"
79,snes-00675,Is This the First Caravan Member to Be Granted Asylum in the United States?,false,https://www.snopes.com/fact-check/is-this-first-caravan-member-asylum/,None,Politics,None,Alex Kasprak,None,Is This the First Caravan Member to Be Granted Asylum in the United States?,2 May 2018,None,['None']
80,snes-05713,Two people in Florida were arrested for selling golden tickets to heaven.,false,https://www.snopes.com/fact-check/golden-ticket-arrest/,None,Junk News,None,Dan Evon,None,Was a Couple Arrested for Selling Golden Tickets to Heaven?,2 April 2015,None,['None']
81,snes-05751,A video depicts Mike Brown assaulting an elderly man over a stolen backpack.,false,https://www.snopes.com/fact-check/mike-brown-beating-video/,None,Crime,None,David Mikkelson,None,Mike Brown Beating Video,9 December 2014,None,['None']
82,snes-04453,"Police in Lancaster, Pennsylvania, busted an Amish dobergoat fighting ring.",false,https://www.snopes.com/fact-check/amish-dobergoat-fighting-ring-busted/,None,Junk News,None,Kim LaCapria,None,Amish Dobergoat Fighting Ring Busted!,14 July 2016,None,"['Pennsylvania', 'Lancaster,_Pennsylvania']"
83,snes-00175,"In August 2018, ""liberals"" started a GoFundMe campaign to raise murder suspect Cristhian Rivera's $5,000,000 bail.",false,https://www.snopes.com/fact-check/cristhian-rivera-gofundme/,None,Junk News,None,Dan MacGuill,None,Did ‘Liberals’ Set Up a GoFundMe Campaign for Murder Suspect Cristhian Rivera?,24 August 2018,None,['None']
84,snes-06083,Venomous 'two-striped telamonia' spiders are lurking beneath toilet seats in public restrooms.,false,https://www.snopes.com/fact-check/two-striped-telamonia-spider/,None,Inboxer Rebellion,None,Snopes Staff,None,Two-Striped Telamonia Spider,30 September 1999,None,['None']
85,snes-00479,"Hillary Clinton's daughter Chelsea ""admitted"" in a tweet that the Pizzagate conspiracy is ""real.""",false,https://www.snopes.com/fact-check/chelsea-clinton-pizzagate-tweet/,None,Junk News,None,David Mikkelson,None,Did Chelsea Clinton Tweet That ‘Pizzagate Is Real’?,11 June 2018,None,"['Chelsea_Clinton', 'Hillary_Rodham_Clinton']"
86,snes-00243,"John F. Kennedy, Jr. wrote in 1999 that Donald Trump would be ""would be an unstoppable force for ultimate justice.'",false,https://www.snopes.com/fact-check/jfk-jr-trump-unstoppable/,None,Politics,None,Dan Evon,None,Did JFK Jr. Write in 1999 That Trump ‘Would Be an Unstoppable Force for Ultimate Justice’?,23 July 2018,None,"['Donald_Trump', 'John_F._Kennedy']"
87,snes-04968,Bernie Sanders wants to tax churches at a rate of 90 percent.,false,https://www.snopes.com/fact-check/bernie-sanders-plans-to-tax-churches/,None,Uncategorized,None,Kim LaCapria,None,Bernie Sanders Plans to Tax Churches?,1 April 2016,None,['Bernie_Sanders']
88,snes-00988,Congresswoman Maxine Waters tweeted that there was no reason for anyone to own a gun because she has an armed security detail.,false,https://www.snopes.com/fact-check/maxine-waters-guncontrolnow-tweet/,None,Junk News,None,Dan Evon,None,Is This Maxine Waters #GunControlNow Tweet Real?,20 February 2018,None,['Maxine_Waters']
89,snes-05743,Disney animators drew Jessica Rabbit without underwear in a few frames of 'Who Framed Roger Rabbit.',legend,https://www.snopes.com/fact-check/who-stripped-jessica-rabbit/,None,Disney,None,David Mikkelson,None,Who Stripped Jessica Rabbit,6 August 1996,None,['None']
90,snes-06237,Steve Kroft of CBS' 60 Minutes penned an article critical of George Soros.,misattributed,https://www.snopes.com/fact-check/george-soros-one-evil-human/,None,Soapbox,None,David Mikkelson,None,George Soros – One Evil Human,4 October 2012,None,"['George_Soros', 'CBS', '60_Minutes']"
91,snes-01955,Photographs depict a couple posing with a dolphin that died because the woman urinated in its blowhole.,miscaptioned,https://www.snopes.com/fact-check/couple-kills-dolphin-urinating/,None,Fauxtography,None,Kim LaCapria,None,Did a Couple Kill a Dolphin by Urinating on It?,19 June 2015,None,['None']
92,snes-05987,Photographs show giant mutant spiders produced by government DNA experiments in Missouri.,miscaptioned,https://www.snopes.com/fact-check/mutant-spiders-in-missouri/,None,Fauxtography,None,David Mikkelson,None,Giant Mutant Spiders in Missouri?,15 September 2014,None,['Missouri']
93,snes-02732,"Fourteen teenaged girls went missing in Washington, D.C., within 24 hours.",mixture,https://www.snopes.com/fact-check/washington-dc-girls-missing/,None,Crime,None,Arturo Garcia,None,"Did 14 Washington, D.C., Girls Go Missing Within a 24-Hour Period?",24 March 2017,None,"['Washington,_D.C.']"
94,snes-04261,The United States has approved plans to crossbreed animals and humans.,mixture,https://www.snopes.com/fact-check/crossbreeding-humans-with-animals-approved-in-the-united-states/,None,Politics,None,Dan Evon,None,Has Crossbreeding Humans with Animals Been Approved in the United States?,11 August 2016,None,['United_States']
95,snes-05593,Four of Donald Trump's children would have been deported under his strict policy proposal against birthright citizenship.,mixture,https://www.snopes.com/fact-check/donald-trump-children-immigrant/,None,Politics,None,Kim LaCapria,None,Would Donald Trump Deport His Children?,20 August 2015,None,['None']
96,snes-00091,"In the event of a hurricane, mobile phone users can update their voicemail greetings even if they lose WiFi and cellular service.",mixture,https://www.snopes.com/fact-check/update-voicemail-no-service/,None,Technology,None,Arturo Garcia,None,Can Mobile Phone Users Update Their Voicemail Greetings Without Cellular Service?,13 September 2018,None,['None']
97,snes-04291,"A study proved e-cigarette use (or vaping) leads to an incurable condition known as ""popcorn lung.""",mixture,https://www.snopes.com/fact-check/vaping-causes-popcorn-lung/,None,Medical,None,Kim LaCapria,None,Vaping Causes ‘Popcorn Lung’?,8 August 2016,None,['None']
98,snes-00340,"Donald Trump broke royal protocol by arriving late to meet Queen Elizabeth, failing to bow, and walking in front of her.",mixture,https://www.snopes.com/fact-check/trump-protocol-queen-elizabeth/,None,Politics,None,Dan MacGuill,None,Did President Trump Break Protocol in His Meeting with Queen Elizabeth?,16 July 2018,None,['Donald_Trump']
99,snes-05485,"Patients can circumvent insurance company claim denials by requesting a specific form of documentation, as the insurance company will opt to simply cover the cost rather than provide the paperwork.",mixture,https://www.snopes.com/fact-check/hipaa-medical-hack-insurance-claim-denials/,None,Medical,None,Kim LaCapria,None,Does a HIPAA ‘Medical Hack’ Avoid Insurance Claim Denials?,15 December 2015,None,['None']
100,snes-01722,"Florida residents affected by Hurricane Irma can receive $197 in food stamp benefits, but only if they can show that their homes lost power for more than two hours.",mostly false,https://www.snopes.com/fact-check/florida-food-stamps-power-cut/,None,Viral Phenomena,None,Dan MacGuill,None,Floridians Can Obtain Food Stamp Benefits If Their Power Went Out During Hurricane Irma?,15 September 2017,None,['None']
101,snes-02886,John McCain solicited campaign contributions from Russia.,mostly false,https://www.snopes.com/fact-check/mccain-campaign-contributions-russian-government/,None,Uncategorized,None,Bethania Palma,None,Did John McCain Solicit a Campaign Contribution from the Russian Government?,23 February 2017,None,"['Russia', 'John_McCain']"
102,snes-03921,Dandelion root can kill 98 percent of cancer cells in 48 hours.,mostly false,https://www.snopes.com/fact-check/dandelion-kills-cancer/,None,Medical,None,Kim LaCapria,None,Dandelion Root Kills 98% of Cancer Cells in 48 Hours?,29 September 2016,None,['None']
